-1|0|-1|Plaintext|Plaintext|0|0|Password|Password|Plaintext passwords (not hashed at all)"
1|4|2780000|DES|Traditional DES|1|0|CCNf8Sbh3HDfQ|U*U*U*U*|
2|8|93184|BSDI|BSDI DES (x725)|1|0|_K9..SaltNrQgIYUAeoY|726 even|
3|9|12878|MD5|FreeBSD MD5|1|0|$1$12345678$aIccj83HRDBo6ux1bVx7D1|0123456789ABCDE|Used by default on most Linux systems"
4|10|744|BF|OpenBSD Blowfish|1|0|$2a$05$CCCCCCCCCCCCCCCCCCCCC.E5YPO9kmyuRGyh0XouQYb4YMJKvyOeW|U*U|Used by default on most BSD systems - painful to crack"
5|5|1311000|AFS|Kerberos AFS DES|1|0|$K4$64c7c2aedccd70d6,0123456789|U*U***U*|
6|1|13686000|LM|LM DES|0|0|$LM$73cc402bd3e79175|SCLEROS|Used by default on most Windows systems before Vista - max length = 7"
7|1|28069000|NT|NT MD4|0|0|$NT$b7e4b9022cd45f275334bbdb83bb5be5|John the Ripper|Used by default on most Windows systems, including newer ones"
8|3|3023000|XSHA|Mac OS X 10.4+ salted SHA-1|1|0|0E6A48F765D0FFFFF6247FA80D748E615F91DD0C7431E4D9|macintosh|
9|1|16313000|mscash|M$ Cache Hash|1|0|M$test3#14dd041848e12fc48c0aa7a416a4a00c|test3|
10|9|12792|md5a|Apache MD5|1|0|$apr1$GBx.D/..$yfVeeYFCIiEXInfRhBRpy/|ripper|
11|5|1604000|hmac-md5|HMAC MD5|1|0|what do ya want for nothing?#750c783e6ab0b503eaa86e310a5db738|Jefe|
12|2|3475000|PO|Post.Office MD5|1|0|9be296cf73d2f548dae3cccafaff1dd982916963c701200625cba2acd40d6569|FRED|
13|2|6361000|raw-MD5|Raw MD5|0|0|378e2c4a07968da2eca692320136433d|thatsworking|
14|2|5367000|MD5-gen|md5_gen(0): md5($p)  (raw-md5)|0|0|md5_gen(0)378e2c4a07968da2eca692320136433d|thatsworking|
15|2|5293000|MD5-gen|md5_gen(1): md5($p.$s)  (joomla)|1|0|md5_gen(1)4fa1e9d54d89bfbe48b4c0f0ca0a3756$laxcaXPjgcdKdKEbkX1SIjHKm0gfYt1c|thatsworking|Used by Joomla"
16|4|2624000|MD5-gen|md5_gen(2): md5(md5($p))  (e107)|0|0|md5_gen(2)ccd3c4231a072b5e13856a2059d04fad|thatsworking|Used by e107"
